state,state_name,rank_in_state,institution,city,control,npv_30yr_resident_usd
VA,Virginia,13,Radford University,Radford,public,802792
VA,Virginia,14,Longwood University,Farmville,public,677896
VA,Virginia,15,Christopher Newport University,Newport News,public,645600
WA,Washington,1,City University of Seattle,Seattle,private-nonprofit,2548379
WA,Washington,2,DigiPen Institute of Technology,Redmond,private-forprofit,2470917
WA,Washington,3,Walla Walla University,College Place,private-nonprofit,1901516
WA,Washington,4,University of Washington-Seattle Campus,Seattle,public,1822874
WA,Washington,5,Washington State University,Pullman,public,1681024
WA,Washington,6,Central Washington University,Ellensburg,public,987220
WA,Washington,7,Northwest University,Kirkland,private-nonprofit,946101
WA,Washington,8,Eastern Washington University,Cheney,public,712622
WA,Washington,9,Western Washington University,Bellingham,public,448058
WA,Washington,10,Seattle University,Seattle,private-nonprofit,395400
WA,Washington,11,Gonzaga University,Spokane,private-nonprofit,250140
WA,Washington,12,Seattle Pacific University,Seattle,private-nonprofit,181270
WA,Washington,13,Saint Martin's University,Lacey,private-nonprofit,69307
WA,Washington,14,Heritage University,Toppenish,private-nonprofit,28600
WV,West Virginia,1,American Public University System,Charles Town,private-forprofit,3207351
WV,West Virginia,2,West Virginia University,Morgantown,public,1756482
WV,West Virginia,3,University of Charleston,Charleston,private-nonprofit,1583604
WV,West Virginia,4,Shepherd University,Shepherdstown,public,1201124
WV,West Virginia,5,Fairmont State University,Fairmont,public,1049949
WV,West Virginia,6,Wheeling University,Wheeling,private-nonprofit,686027
WV,West Virginia,7,Marshall University,Huntington,public,626102
WV,West Virginia,8,West Virginia University at Parkersburg,Parkersburg,public,598941
WV,West Virginia,9,Bluefield State University,Bluefield,public,533416
WV,West Virginia,10,West Virginia Wesleyan College,Buckhannon,private-nonprofit,467800
WV,West Virginia,11,West Liberty University,West Liberty,public,447780
WV,West Virginia,12,Glenville State University,Glenville,public,312261
WV,West Virginia,13,West Virginia State University,Institute,public,4837
WI,Wisconsin,1,Milwaukee School of Engineering,Milwaukee,private-nonprofit,3198477
WI,Wisconsin,2,University of Wisconsin-Platteville,Platteville,public,2859520
WI,Wisconsin,3,Herzing University-Madison,Madison,private-nonprofit,2433496
WI,Wisconsin,4,University of Wisconsin-Stout,Menomonie,public,2363006
WI,Wisconsin,5,University of Wisconsin-Madison,Madison,public,2299905
WI,Wisconsin,6,Viterbo University,La Crosse,private-nonprofit,2027131
WI,Wisconsin,7,University of Wisconsin-Eau Claire,Eau Claire,public,1913467
WI,Wisconsin,8,University of Wisconsin-Whitewater,Whitewater,public,1820072
WI,Wisconsin,9,University of Wisconsin-Oshkosh,Oshkosh,public,1743666
WI,Wisconsin,10,University of Wisconsin-La Crosse,La Crosse,public,1687142
WI,Wisconsin,11,University of Wisconsin-Milwaukee,Milwaukee,public,1607219
WI,Wisconsin,12,University of Wisconsin-Parkside,Kenosha,public,1514152
WI,Wisconsin,13,University of Wisconsin-River Falls,River Falls,public,1510343
WI,Wisconsin,14,Marquette University,Milwaukee,private-nonprofit,1444095
WI,Wisconsin,15,University of Wisconsin-Green Bay,Green Bay,public,1402163
WY,Wyoming,1,University of Wyoming,Laramie,public,1618801
