rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
256,Jacksonville State University,AL,350222,1142899,792677,12426,22716
257,University of North Alabama,AL,347159,856895,509736,11990,22190
258,Stephen F Austin State University,TX,343076,1180904,837828,10600,20680
259,Angelo State University,TX,343075,1082077,739002,8319,18399
260,Tarleton State University,TX,343075,1529976,1186901,7878,17958
261,Texas Woman's University,TX,343075,1838859,1495784,8640,18720
262,University of North Texas,TX,343075,1443619,1100544,11164,21244
263,The University of Texas Rio Grande Valley,TX,342905,580557,237652,9467,19542
264,Tennessee Technological University,TN,341442,1370974,1029532,10084,20116
265,Vermont State University,VT,340624,2221518,1880894,11400,21408
266,Millersville University of Pennsylvania,PA,339331,1001280,661949,12262,22232
267,Delaware State University,DE,338174,577648,239474,10314,20250
268,University of Houston-Downtown,TX,338174,2025193,1687019,7536,17472
269,Fairmont State University,WV,337562,1049949,712387,8454,18372
270,Wichita State University,KS,337561,1486319,1148758,9322,19240
271,Empire State University,NY,337290,1650639,1313349,7630,17540
272,SUNY College at Plattsburgh,NY,337290,587778,250488,8881,18791
273,Farmingdale State College,NY,337289,1833164,1495875,8576,18486
274,SUNY Maritime College,NY,337289,5712052,5374763,8540,18450
275,SUNY Old Westbury,NY,337289,744266,406977,8379,18289
276,State University of New York at Cortland,NY,337289,344522,7233,8815,18725
277,Upstate Medical University,NY,337289,2875130,2537841,8083,17993
278,Rowan University,NJ,335724,651492,315768,15700,25564
279,Troy University,AL,333274,1157883,824609,9792,19584
280,Lamar University,TX,333273,2092503,1759230,8904,18696
281,Sam Houston State University,TX,333273,1305128,971855,9228,19020
282,Texas A&M University-Central Texas,TX,333273,1151644,818371,7363,17155
283,University of Houston-Victoria,TX,333273,1884146,1550873,7499,17291
284,Murray State University,KY,331639,1112783,781144,9708,19452
285,University of Wisconsin-Whitewater,WI,328984,1820072,1491088,8250,17916
286,Middle Georgia State University,GA,326739,1299062,972323,4432,14032
287,Lander University,SC,326738,485893,159155,11700,21300
288,Florida SouthWestern State College,FL,325989,1978895,1652906,3401,12979
289,East Central University,OK,323676,1459198,1135522,8032,17542
290,Cameron University,OK,320612,836830,516218,6900,16320
291,Wright State University-Main Campus,OH,320544,1536523,1215979,10614,20032
292,Vincennes University,IN,320033,1674515,1354482,6886,16289
293,Minnesota State University-Mankato,MN,318910,2018990,1700080,9490,18860
294,University of Toledo,OH,318570,2040819,1722249,11742,21102
295,Illinois State University,IL,318502,1426786,1108284,14121,23479
296,William Paterson University of New Jersey,NJ,317005,530585,213580,15150,24464
297,University of Wisconsin-Eau Claire,WI,314451,1913467,1599016,9277,18516
298,Southeastern Oklahoma State University,OK,313464,1401094,1087630,7200,16410
299,Northeastern State University,OK,310401,1112340,801939,7513,16633
300,Kent State University at Kent,OH,310164,1022326,712162,11767,20880
301,University of West Alabama,AL,309720,757283,447563,10990,20090
302,University of Wisconsin-La Crosse,WI,307679,1687142,1379463,9651,18691
303,University of Wisconsin-Stevens Point,WI,306998,942584,635586,8834,17854
304,University of South Alabama,AL,305501,1333608,1028107,9676,18652
305,University of Wisconsin-Platteville,WI,304921,2859520,2554599,8315,17274
306,Polk State College,FL,303084,1497612,1194528,3366,12271
307,Missouri State University-Springfield,MO,303049,948123,645074,9024,17928
308,Daytona State College,FL,302506,1186191,883685,3106,11994
309,Georgia Gwinnett College,GA,299034,1205680,906646,4458,13244
310,University of Wisconsin-Parkside,WI,294133,1514152,1220019,7855,16497
311,Alabama A & M University,AL,293044,1285895,992851,10024,18634
312,University of Wisconsin-Green Bay,WI,292260,1402163,1109903,8342,16929
313,University of Wisconsin-Stout,WI,291477,2363006,2071529,10142,18706
314,Missouri Western State University,MO,289980,1235759,945779,8970,17490
315,Northwest Florida State College,FL,289504,1064726,775222,3246,11752
316,Louisiana State University Health Sciences Center-New Orleans,LA,288448,3216047,2927599,10376,18851
317,Missouri Southern State University,MO,285896,1223161,937265,8400,16800
318,Truman State University,MO,285896,1071167,785271,9470,17870
319,West Liberty University,WV,285351,447780,162429,8732,17116
320,University of Central Missouri,MO,283343,1501046,1217703,9735,18060
321,Emporia State University,KS,282935,1071132,788197,7356,15669
322,Oakland University,MI,282764,1702661,1419897,16429,24737
323,University of Wisconsin-River Falls,WI,281845,1510343,1228498,8606,16887
324,Seminole State College of Florida,FL,279770,1671278,1391508,3227,11447
325,The University of Tennessee-Chattanooga,TN,274460,1127314,852854,10144,18208
326,University of Arkansas at Pine Bluff,AR,272623,365016,92393,9019,17029
327,Bowling Green State University-Main Campus,OH,271874,962888,691014,13390,21378
328,East Stroudsburg University of Pennsylvania,PA,271125,900192,629067,10736,18702
329,Cheyney University of Pennsylvania,PA,271124,907011,635887,10904,18870
330,College of Staten Island CUNY,NY,270581,1047477,776896,7490,15440
331,CUNY Bernard M Baruch College,NY,270580,1804042,1533462,7464,15414
332,CUNY City College,NY,270580,675203,404623,7340,15290
333,CUNY Graduate School and University Center,NY,270580,3163148,2892568,7410,15360
334,CUNY Hunter College,NY,270580,756607,486027,7382,15332
335,CUNY John Jay College of Criminal Justice,NY,270580,447437,176857,7470,15420
336,CUNY Lehman College,NY,270580,933874,663294,7410,15360
