rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
124,Oklahoma State University-Main Campus,OK,528227,2000259,1472032,10110,25630
125,Maine Maritime Academy,ME,526865,6593271,6066406,14746,30226
126,Augusta University,GA,523394,1424023,900629,8122,23500
127,University of Cincinnati-Main Campus,OH,521896,1965207,1443311,12906,28240
128,The University of Texas at Tyler,TX,520739,1816558,1295819,9452,24752
129,Temple University,PA,519276,1002952,483676,21991,37248
130,Georgia State University,GA,518391,1096234,577843,8478,23709
131,Frostburg State University,MD,516723,732196,215473,9998,25180
132,Florida State University,FL,516179,1084151,567972,6517,21683
133,University of North Carolina at Charlotte,NC,499025,1649636,1150611,7214,21876
134,Montana State University Billings,MT,498310,1082988,584678,6706,21347
135,Christopher Newport University,VA,498174,645600,147426,16351,30988
136,Colorado Mesa University,CO,496914,935385,438471,9712,24312
137,Fashion Institute of Technology,NY,494260,1198640,704380,8050,22572
138,University of Northern Colorado,CO,490516,557863,67347,11528,25940
139,University of Houston-Clear Lake,TX,482756,2010733,1527977,8322,22506
140,University of Alaska Anchorage,AK,480816,2344964,1864148,7566,21693
141,Nevada State University,NV,479250,2678242,2198992,6368,20449
142,Lewis-Clark State College,ID,476425,1830853,1354428,7388,21386
143,University of Nebraska at Omaha,NE,476085,1658833,1182748,8370,22358
144,The University of Texas Health Science Center at San Antonio,TX,472137,2696918,2224781,9577,23449
145,Indiana University-East,IN,471865,1624444,1152579,8179,22043
146,Indiana University-Kokomo,IN,471865,1657316,1185451,8179,22043
147,Indiana University-Southeast,IN,471865,1353243,881378,8179,22043
148,Indiana University-Northwest,IN,471864,1354191,882327,8179,22043
149,Indiana University-South Bend,IN,471864,1210306,738442,8179,22043
150,Southern Utah University,UT,470231,834455,364224,6770,20586
151,Texas A&M University-San Antonio,TX,470027,1340220,870193,9354,23164
152,University of Louisiana at Lafayette,LA,467236,1591936,1124700,10418,24146
153,University of Baltimore,MD,466896,833933,367037,9772,23490
154,Tennessee State University,TN,466827,944943,478116,8568,22284
155,Eastern Oregon University,OR,465296,641941,176645,10709,24380
